demon,[noun]an evil spirit or force,[ˈdiːmən]
aggression,[noun]angry or threatening behaviour or feelings that often result in fighting,[əˈɡreʃən]
opponent,[noun]someone who you try to defeat in a competition. game. fight. or argument,[əˈpəʊnənt]
recommendation,[noun] official advice given to someone. especially about what to do,[ˌrekəmenˈdeɪʃən]
compensate,[verb] to replace or balance the effect of something bad,[ˈkɒmpənseɪt]
trophy,[noun]a large object such as a silver cup or plate that someone receives as a prize for winning a competition,[ˈtrəʊfi]
restate,[verb]to say something again in a different way. so that it is clearer or more strongly expressed,[ˌriːˈsteɪt]
sponsorship,[noun] financial support for an activity or event,[ˈspɒnsəʃɪp]
phenomenal,[adjective]very great or impressive,[fɪˈnɒmɪnəl]
sacrifice,[noun] when you decide not to have something valuable. in order to get something that is more important,[ˈsækrəfaɪs]
patience,[noun]the ability to continue waiting or doing something for a long time without becoming angry or anxious,[ˈpeɪʃəns]
criterion,[noun]a standard that you use to judge something or make a decision about something,[kraɪˈtɪəriən]
entertainment,[noun] things such as films. television. performances etc that are intended to amuse or interest people,[ˌentəˈteɪnmənt]
lucrative,[adjective]a job or activity that is lucrative lets you earn a lot of money,[ˈluːkrətɪv]
charisma,[noun]a natural ability to attract and interest other people and make them admire you,[kəˈrɪzmə]
